7/1/2022 12:30:21 PM, SCANNER#1 CONNECT OK
7/1/2022 12:30:22 PM, SCANNER#2 CONNECT OK
7/1/2022 12:30:30 PM, LOAD TO PLC OK
7/1/2022 12:34:20 PM, MES OFF
7/1/2022 12:34:20 PM, PLC CONNECT OK
7/1/2022 12:34:28 PM, LOCK ON
7/1/2022 12:34:28 PM, SCANNER#1 CONNECT OK
7/1/2022 12:34:28 PM, SCANNER#2 CONNECT OK
7/1/2022 12:34:38 PM, LOAD TO PLC OK
7/1/2022 12:36:09 PM, MES OFF
7/1/2022 12:36:10 PM, PLC CONNECT OK
7/1/2022 12:36:14 PM, LOCK ON
7/1/2022 12:36:14 PM, SCANNER#1 CONNECT OK
7/1/2022 12:36:26 PM, MES OFF
7/1/2022 12:36:26 PM, PLC CONNECT OK
7/1/2022 12:36:27 PM, LOCK ON
7/1/2022 12:36:28 PM, SCANNER#1 CONNECT OK
7/1/2022 12:36:28 PM, FORM OPEN COMPLETED
7/1/2022 12:36:36 PM, LOAD TO PLC OK
7/1/2022 12:43:11 PM, MES OFF
7/1/2022 12:43:11 PM, PLC CONNECT OK
7/1/2022 12:43:15 PM, LOCK ON
7/1/2022 12:43:15 PM, SCANNER#1 CONNECT OK
7/1/2022 12:43:15 PM, SCANNER#2 CONNECT OK
7/1/2022 12:43:24 PM, LOAD TO PLC OK
7/1/2022 12:43:51 PM, OFFLINE MODE ON
7/1/2022 12:48:01 PM, SCANNER#1 CONNECT NG
7/1/2022 12:48:01 PM, SCANNER#2 CONNECT NG
7/1/2022 12:48:10 PM, JOG MODE OFF
7/1/2022 12:48:10 PM, JOG MODE ON
7/1/2022 3:10:09 PM, MES OFF
7/1/2022 3:10:12 PM, PLC CONNECT NG
7/1/2022 3:10:13 PM, LOCK ON
7/1/2022 3:10:13 PM, FORM OPEN COMPLETED
7/1/2022 3:10:20 PM, LOAD TO PLC OK
7/1/2022 3:10:34 PM, SCANNER#1 CONNECT NG
7/1/2022 3:10:34 PM, PLC DEVICE CHANGE
7/1/2022 3:10:40 PM, LINK SAVE FILE RESULT CHANGE
7/1/2022 3:10:42 PM, FORM CLOSED
7/1/2022 3:10:48 PM, MES OFF
7/1/2022 3:10:50 PM, PLC CONNECT NG
7/1/2022 3:10:51 PM, LOCK ON
7/1/2022 3:10:51 PM, FORM OPEN COMPLETED
7/1/2022 3:11:07 PM, FORM CLOSED
7/1/2022 3:23:08 PM, MES OFF
7/1/2022 3:23:11 PM, PLC CONNECT NG
7/1/2022 3:23:12 PM, LOCK ON
7/1/2022 3:23:12 PM, FORM OPEN COMPLETED
7/1/2022 3:23:33 PM, SCANNER#1 CONNECT NG
7/1/2022 3:23:43 PM, PLC DEVICE CHANGE
7/1/2022 3:23:54 PM, SCANNER#2 CONNECT NG
7/1/2022 3:36:20 PM, MES OFF
7/1/2022 3:36:23 PM, PLC CONNECT NG
7/1/2022 3:36:24 PM, LOCK ON
7/1/2022 3:36:24 PM, FORM OPEN COMPLETED
7/1/2022 3:36:41 PM, LOAD TO PLC OK
7/1/2022 3:36:45 PM, SCANNER#1 CONNECT NG
7/1/2022 3:36:47 PM, MODEL SAVE OK
7/1/2022 3:36:52 PM, MODEL SAVE OK
7/1/2022 3:37:04 PM, FORM CLOSED
7/1/2022 3:37:09 PM, MES OFF
7/1/2022 3:37:12 PM, PLC CONNECT NG
7/1/2022 3:37:13 PM, LOCK ON
7/1/2022 3:37:13 PM, FORM OPEN COMPLETED
7/1/2022 3:37:18 PM, LOAD TO PLC OK
7/1/2022 3:37:34 PM, SCANNER#1 CONNECT NG
7/1/2022 3:37:55 PM, SCANNER#2 CONNECT NG
7/1/2022 3:40:29 PM, FORM CLOSED
7/1/2022 3:41:24 PM, MES OFF
7/1/2022 3:41:27 PM, PLC CONNECT NG
7/1/2022 3:41:28 PM, LOCK ON
7/1/2022 3:41:28 PM, FORM OPEN COMPLETED
7/1/2022 3:41:49 PM, SCANNER#1 CONNECT NG
7/1/2022 3:41:57 PM, FORM CLOSED
7/1/2022 3:46:31 PM, MES OFF
7/1/2022 3:46:34 PM, PLC CONNECT NG
7/1/2022 3:46:35 PM, LOCK ON
7/1/2022 3:46:35 PM, FORM OPEN COMPLETED
7/1/2022 3:46:56 PM, SCANNER#1 CONNECT NG
7/1/2022 3:47:17 PM, SCANNER#2 CONNECT NG
7/1/2022 3:47:26 PM, JOG MODE OFF
7/1/2022 3:47:26 PM, JOG MODE ON
7/1/2022 3:51:15 PM, LOAD TO PLC OK
7/1/2022 3:51:30 PM, LOCK OFF
7/1/2022 3:51:37 PM, LOCK ON
7/1/2022 3:51:40 PM, LOCK OFF
7/1/2022 3:51:44 PM, FORM CLOSED
7/1/2022 4:02:19 PM, MES OFF
7/1/2022 4:02:19 PM, PLC CONNECT OK
7/1/2022 4:02:20 PM, LOCK ON
7/1/2022 4:02:20 PM, SCANNER#1 CONNECT OK
7/1/2022 4:02:20 PM, SCANNER#2 CONNECT OK
7/1/2022 4:02:35 PM, LOAD TO PLC OK
7/1/2022 4:02:53 PM, MODEL SAVE OK
7/1/2022 4:03:04 PM, PLC DEVICE CHANGE
7/1/2022 4:03:05 PM, PLC DEVICE CHANGE
7/1/2022 4:03:07 PM, LINK SAVE FILE RESULT CHANGE
7/1/2022 4:03:08 PM, TOWER LAMP SETTING CHANGE
7/1/2022 4:03:11 PM, MES SETTING CHANGE
7/1/2022 4:03:13 PM, SCANNER SETTING CHANGE
7/1/2022 4:10:03 PM, MES ON REQUEST
7/1/2022 4:10:08 PM, FORM CLOSED
7/1/2022 4:10:14 PM, MES ON
7/1/2022 4:10:14 PM, PLC CONNECT OK
7/1/2022 4:10:16 PM, LOCK ON
7/1/2022 4:10:16 PM, SCANNER#1 CONNECT OK
7/1/2022 4:10:16 PM, SCANNER#2 CONNECT OK
7/1/2022 4:10:21 PM, OFFLINE MODE ON
7/1/2022 4:10:36 PM, LOAD TO PLC OK
7/1/2022 4:20:39 PM, MES ON
7/1/2022 4:20:39 PM, PLC CONNECT OK
7/1/2022 4:20:40 PM, LOCK ON
7/1/2022 4:20:40 PM, SCANNER#1 CONNECT OK
7/1/2022 4:20:40 PM, SCANNER#2 CONNECT OK
7/1/2022 4:20:49 PM, LOAD TO PLC OK
7/1/2022 4:20:59 PM, OFFLINE MODE ON
7/1/2022 4:29:16 PM, MES ON
7/1/2022 4:29:16 PM, PLC CONNECT OK
7/1/2022 4:29:19 PM, LOCK ON
7/1/2022 4:29:20 PM, SCANNER#1 CONNECT OK
7/1/2022 4:29:20 PM, SCANNER#2 CONNECT OK
7/1/2022 4:29:35 PM, LOAD TO PLC OK
7/1/2022 4:29:39 PM, OFFLINE MODE ON
7/1/2022 4:31:40 PM, MES ON
7/1/2022 4:31:40 PM, PLC CONNECT OK
7/1/2022 4:31:41 PM, LOCK ON
7/1/2022 4:31:42 PM, SCANNER#1 CONNECT OK
7/1/2022 4:31:42 PM, SCANNER#2 CONNECT OK
7/1/2022 4:31:49 PM, LOAD TO PLC OK
7/1/2022 4:33:34 PM, OFFLINE MODE ON
7/1/2022 4:38:02 PM, MES ON
7/1/2022 4:38:02 PM, PLC CONNECT OK
7/1/2022 4:38:03 PM, LOCK ON
7/1/2022 4:38:04 PM, SCANNER#1 CONNECT OK
7/1/2022 4:38:04 PM, SCANNER#2 CONNECT OK
7/1/2022 4:38:18 PM, LOAD TO PLC OK
7/1/2022 4:38:48 PM, OFFLINE MODE ON
7/1/2022 4:40:24 PM, MES ON
7/1/2022 4:40:24 PM, PLC CONNECT OK
7/1/2022 4:40:25 PM, LOCK ON
7/1/2022 4:40:26 PM, SCANNER#1 CONNECT OK
7/1/2022 4:40:26 PM, SCANNER#2 CONNECT OK
7/1/2022 4:40:33 PM, LOAD TO PLC OK
7/1/2022 4:41:07 PM, OFFLINE MODE ON
7/1/2022 4:50:47 PM, MODEL SAVE OK
7/1/2022 4:50:51 PM, LOAD TO PLC OK
7/1/2022 4:51:39 PM, FORM CLOSED
7/1/2022 4:51:44 PM, MES ON
7/1/2022 4:51:44 PM, PLC CONNECT OK
7/1/2022 4:51:45 PM, LOCK ON
7/1/2022 4:51:45 PM, SCANNER#1 CONNECT OK
7/1/2022 4:51:45 PM, SCANNER#2 CONNECT OK
7/1/2022 4:51:53 PM, LOAD TO PLC OK
7/1/2022 4:51:55 PM, OFFLINE MODE ON
7/1/2022 4:52:46 PM, MODEL SAVE OK
7/1/2022 4:52:53 PM, MODEL SAVE OK
7/1/2022 4:52:58 PM, LOAD TO PLC OK
7/1/2022 4:54:31 PM, RESET COUNTER
7/1/2022 5:01:41 PM, SCANNER#1 CONNECT NG
7/1/2022 5:01:41 PM, SCANNER#2 CONNECT NG
7/1/2022 5:01:45 PM, JOG MODE OFF
7/1/2022 5:01:45 PM, JOG MODE ON
7/1/2022 5:02:38 PM, MES ON
7/1/2022 5:02:38 PM, PLC CONNECT OK
7/1/2022 5:02:39 PM, LOCK ON
7/1/2022 5:02:40 PM, SCANNER#1 CONNECT OK
7/1/2022 5:02:40 PM, SCANNER#2 CONNECT OK
7/1/2022 5:02:53 PM, LOAD TO PLC OK
7/1/2022 5:02:58 PM, OFFLINE MODE ON
7/1/2022 5:05:55 PM, MES ON
7/1/2022 5:05:55 PM, PLC CONNECT OK
7/1/2022 5:05:57 PM, LOCK ON
7/1/2022 5:05:58 PM, SCANNER#1 CONNECT OK
7/1/2022 5:05:58 PM, SCANNER#2 CONNECT OK
7/1/2022 5:06:07 PM, LOAD TO PLC OK
